source,target,source example,target example,source language,target language,source segment,url,comment
"commesso","clerk","Il commesso disonesto era noto per intascarsi i pagamenti dei clienti.","The dishonest clerk was known to pocket payments from customers.","it","en","","",""
"commozione","concussion","Non c'è alcun segno di commozione o di colpi alla testa.","No indication of a concussion or a blow to the head.","it","en","","",""
"sfuggire","escape","Guidava a rotta di collo attraverso la città, cercando di sfuggire alla polizia.","She drove fast and furious through the city, trying to escape the police.","it","en","","",""
"vita","life","Il giardino prende vita in primavera con la fioritura di colorati fiori.","The garden comes to life in spring with colorful flowers blooming.","it","en","","",""
"peso","weight","Il suo commento sul mio peso ha davvero toccato un nervo scoperto.","His comment about my weight really struck a nerve with me.","it","en","","",""
"circonferenza","circumference","Nel nostro esperimento, abbiamo misurato la circonferenza di diverse sfere.","In our experiment, we measured the circumference of different spheres.","it","en","","",""
"pallina","ball","Ha imparato a colpire la pallina da ping pong rapidamente e con precisione.","She learned to stroke the table tennis ball quickly and accurately.","it","en","","",""
"palline","balls","Le palline da lancio sono perfette per esercitare la mira in giardino.","The throwing balls are perfect for practicing your aim in the backyard.","it","en","","",""
"scatola","box","La scatola conteneva oggetti vari dei suoi giorni al college.","The box contained odds and ends from his college days.","it","en","","",""
"botte","barrel","Una singola doga può determinare la resistenza e la durata della botte.","A single stave can determine the strength and durability of the barrel.","it","en","","",""
"gradire","like","Non dimenticare di gradire i loro post e di impegnarsi in conversazioni.","Don't forget to like their posts and engage in conversations.","it","en","","",""
"imprevisto","unexpected","Un ostacolo imprevisto può cambiare il gioco in un istante.","An unexpected hazard can change the game in an instant.","it","en","","","unforeseen, unplanned"
"cercarsela","asking for trouble","Sfiderlo a saltare dal tetto è un modo perfetto per andare a cercarsela.","Daring him to jump off the roof is asking for trouble.","it","en","","",""
"cavarsela","get by","In qualche modo riescono sempre a cavarsela durante la bassa stagione.","Somehow, they always manage to get by during the off-season.","it","en","","",""
"tosto","tough","Non si era mai visto un giocatore così tosto ed elegante.","There's never been a player so tough, so graceful.","it","en","","",""
"svestito","undressed","Abbiamo asciugato e svestito gli scheletri, i pali con il filo avvolto.","We dried and undressed the skeletons, the poles wrapped in barbed wire.","it","en","","","stripped, naked"
"spachettare","unpack","Ok, vediamo se riesco a spacchettare un paio di cose.","Okay, let me see if I can unpack a few things here.","it","en","","","unwrap, uncrate"
"calzature","footgear","Le sue calzature erano sia eleganti che pratiche per il tempo piovoso.","His footgear was both stylish and practical for the rainy weather.","it","en","","",""
"autovelox","speed camera","Una autovelox mi ha beccato a superare il limite di velocità ieri.","A speed camera caught me driving over the limit yesterday.","it","en","","",""
"rimasuglio","remnant","Ecco come potevo usare quell'ultimo rimasuglio di farro.","That's how I could use that last remnant of farro.","it","en","","",""
"nutrirsi","feed","Una zecca potrebbe nutrirsi per diversi giorni prima di staccarsi dal suo ospite.","A tick might feed for several days before dropping off its host.","it","en","","",""
"scoppio","outbreak","Lo scoppio di incendi boschivi ha distrutto vaste aree di foresta quest'estate.","The outbreak of wildfires destroyed large areas of forest this summer.","it","en","","",""
"nodo","knot","Fare un nodo sicuro è essenziale quando si monta una tenda.","Tying a secure knot is essential when setting up a tent.","it","en","","",""
"gonfiare","inflate","La pubblicità dell'azienda era un espediente ideato per gonfiare le vendite.","The company's advertisement was a ruse designed to inflate their sales.","it","en","","",""
"filo","wire","Ha usato un filo metallico per appendere il quadro al muro.","He used a wire to hook the picture frame onto the wall.","it","en","","",""
"palloncino","balloon","Il palloncino esplose quando il bambino lo strinse troppo forte per sbaglio.","The balloon popped when the child accidentally squeezed it too hard.","it","en","","",""
"farcito","stuffed","Ha farcito i peperoni con un mix di riso e carne di salsiccia.","She stuffed the peppers with a mix of rice and sausage meat.","it","en","","",""
"traguardo","finish line","I corridori hanno tagliato il traguardo uno dopo l'altro in una gara emozionante.","The runners crossed the finish line one after another in a thrilling race.","it","en","","",""
"intellettivo","intellectual","Evocare la magia non è un uno sforzo intellettivo.","Conjuring magic is not an intellectual endeavor.","it","en","","",""
"foglia","leaf","Ammirò la parte superiore della foglia, notando i suoi intricati modelli di vene.","He admired the upside of the leaf, noting its intricate vein patterns.","it","en","","",""
"nido","nest","Morbide piume rivestivano il nido, proteggendo le uova al suo interno.","Soft down lined the nest, protecting the eggs nestled inside.","it","en","","",""
"oca","goose","Ho ammirato l'elegante oca mentre si lisciava le piume vicino al lago.","I admired the elegant goose as it preened its feathers by the lake.","it","en","","","oca, gander"
"sdraiare","lie down","Non questa, la camera dove fai sdraiare la gente.","Not this one, the room where people lie down.","it","en","","",""
"precludere","preclude","La loro disattivazione potrebbe precludere la fruizione ottimale di alcune aree del sito.","Their deactivation could preclude optimum use of some areas of the site.","it","en","","",""
"greed","avidità","The corporate boardroom had become a devil's playground of greed and corruption.","La sala del consiglio aziendale era diventata un nido di vipere di avidità e corruzione.","en","it","","",""
"reperibile","available","Elisabetta è stata molto gentile e sempre reperibile per ogni necessità.","Elizabeth was very friendly and always available for every need.","it","en","","",""
"rimetterci","get back","I piani sono saltati, ma possiamo ancora rimetterci in pista il mese prossimo.","Plans fell through, yet we can still get back on track next month.","it","en","","",""
"sfondare","break through","Ha inferto un colpo preciso per sfondare il muro spesso.","He delivered a precise thrust to break through the thick wall.","it","en","","",""
"sfogo","vent","La studentessa ha dato sfogo alla sua ansia prima dell'esame finale.","The student gave vent to her anxiety before the final exam.","it","en","","",""
"trionfo","triumph","Come nelle sfide della vita, la perseveranza porta spesso al trionfo.","As with life's challenges, perseverance often leads to triumph.","it","en","","",""
"congelatore","freezer","Un pezzo di ghiaccio è caduto dal congelatore sul pavimento.","A chunk of ice fell from the freezer onto the floor.","it","en","","",""
"grandine","hail","Il terreno brillava di grandine dopo l'intenso temporale estivo.","The ground was glistening with hail after the intense summer storm.","it","en","","",""
"delitto","crime","Un delitto passionale si è consumato rapidamente, lasciando la comunità incredula.","A crime of passion unfolded quickly, leaving the community in disbelief.","it","en","","",""
"compagnia","company","I bambini tenevano compagnia alla madre malata leggendo storie ad alta voce.","The children kept their sick mother company by reading stories aloud.","it","en","","",""
"avvolgente","enveloping","Avvolto in velluto scuro, la stanza sembrava lussuosa e avvolgente.","Swathed in dark velvet, the room felt luxurious and enveloping.","it","en","","",""
"colmi di","full of","Vi auguro pacchi colmi di felicità e fortuna, che servono sempre.","I wish boxes full of happiness and luck, that always serve.","it","en","","",""
"davanzale","windowsill","La neve si accumula sul davanzale, suggerendo il freddo invernale all'esterno.","The snow fringes the windowsill, hinting at the winter chill outside.","it","en","","","sill, window sill"
"dorso","back","La sella è stata sistemata con cura sul dorso del cavallo.","The saddle was placed carefully on the horse's back.","it","en","","",""
"carica","charge","Il fulmine è un fenomeno naturale che coinvolge una carica elettrica massiccia.","Lightning is a natural phenomenon that involves a massive electric charge.","it","en","","",""
"ricoprire","cover","Cominciamo a ricoprire i fiori con il restante gel di silice.","We begin to cover the flowers with the remaining silica gel.","it","en","","",""
"scorrere","slide","Puoi far scorrere il coperchio per rivelare lo scomparto nascosto.","You can slide the cover back to reveal the hidden compartment.","it","en","","",""
"ombelico","navel","Un tocco delicato intorno all'ombelico può essere rilassante durante un massaggio.","A gentle touch around the navel can be soothing during a massage.","it","en","","",""
"sconfitto","defeated","La squadra di casa ha sconfitto i rivali a valanga, segnando cinque gol a zero.","The home team defeated their rivals by a landslide, scoring five goals to none.","it","en","","",""
"disfatta","defeat","E confido di essere con te, in questa grande disfatta.","And I trust to be with you in that great defeat.","it","en","","",""
"mulo","mule","Ha imparato a gestire il mulo testardo con pazienza e perseveranza.","He learned to wrangle the stubborn mule with patience and perseverance.","it","en","","",""
"orto","garden","Il progetto di orto comunitario sta faticando a decollare quest'anno.","The community garden project is struggling to get off the ground this year.","it","en","","",""
"pollaio","chicken coop","Il loro pollaio era circondato da una forte barriera di rete metallica.","Their chicken coop was surrounded by a strong barrier of wire netting.","it","en","","",""
"porcellino","piggy","Durante il festival, abbiamo guardato una parata con un grande porcellino gonfiabile.","During the festival, we watched a parade featuring a giant inflatable piggy.","it","en","","",""
"fattoria","farm","Si diverte sempre un mondo quando visita la fattoria dei nonni.","He always has a blast when he visits his grandparents' farm.","it","en","","","farmhouse, homestead"
"riscatto","ransom","Molti credono che pagare il riscatto alimenti solo il ciclo di crimini.","Many believe that paying ransom only fuels the cycle of crime.","it","en","","",""
"inno","hymn","Un potente inno può elevare gli spiriti e ispirare momenti di preghiera.","A powerful hymn can uplift spirits and inspire moments of prayer.","it","en","","",""
"manicomio","asylum's","La cella imbottita del manicomio era progettata per prevenire l'autolesionismo nei pazienti agitati.","The asylum's padded cell was designed to prevent self-harm in agitated patients.","it","en","","",""
"restio","reluctant","Un testimone restio, ma lo abbiamo inchiodato per spaccio.","A reluctant witness, but we got him on a drug charge.","it","en","","",""
"meta","destination","Un tempo tranquilla cittadina, ora è diventata una popolare meta turistica.","Formerly a quiet town, it has become a popular tourist destination.","it","en","","",""
"fototessera","passport photo","Albert ha ottenuto questo effetto pensando a una fototessera.","Albert achieved this effect by thinking about a passport photo.","it","en","","",""
"scambiare","exchange","Ho proposto di stringere un accordo per scambiare servizi invece di denaro.","I proposed they make a deal to exchange services instead of cash.","it","en","","",""
"burrocacao","lip balm","La sua collezione di burrocacao include ogni colore e gusto immaginabile.","Her lip balm collection includes every color and flavor imaginable.","it","en","","",""
"labbra","lips","Strinse le labbra prima di parlare, scegliendo attentamente le sue parole.","She pursed her lips before speaking, choosing her words carefully.","it","en","","",""
"protetto","protected","Il club nautico aveva diverse barche alla fonda nel porto turistico protetto.","The yacht club had several boats at anchor in the protected marina.","it","en","","",""
"moneta","coin","Ha trovato una moneta rara come nuova al mercatino delle pulci.","She found a rare coin in mint condition at the flea market.","it","en","","",""
"omaggio","tribute","Il film è stato pensato come un omaggio ai classici film horror.","The film was conceived as a tribute to classic horror movies.","it","en","","",""
"situato","located","Hanno fatto un piccolo picnic nel parco situato accanto al viale.","They held a small picnic in the park located beside the avenue.","it","en","","",""
"pescare","fish","Siamo partiti per pescare in alto mare, lontano dalla costa.","We set out to fish in the open water far from the shore.","it","en","","",""
"fata","fairy","Le leggende parlano di una fata che protegge la foresta da danni e distruzione.","Legends speak of a fairy that protects the forest from harm and destruction.","it","en","","",""
"drago","dragon","Il drago nella storia poteva dar fuoco a interi villaggi.","The dragon in the story could set entire villages on fire.","it","en","","",""
"avvistamento","sighting","Ho registrato l'avvistamento della cometa ieri sera con gli amici.","I recorded the sighting of the comet last night with friends.","it","en","","",""
"scia","wake","Una scia sottile seguiva la canoa mentre scivolava dolcemente sul fiume.","A narrow wake followed the canoe as it glided smoothly over the river.","it","en","","",""
"velivolo","aircraft","Ogni velivolo deve passare alla modalità di volo mentre si innalza nei cieli.","Every aircraft must switch to flight mode as it ascends into the skies.","it","en","","",""
"orsetto","teddy bear","Stringeva forte un orsetto logoro, riluttante a lasciarlo andare.","She clutched the threadbare teddy bear tightly, reluctant to let go.","it","en","","",""
"fama","fame","Alcune persone non si fermeranno davanti a niente per raggiungere fama e fortuna.","Some people will stop at nothing to achieve fame and fortune.","it","en","","",""
"furore","fury","Il suo furore veniva placato con offerte annuali di vittime umane.","His fury was appeased with annual offerings of human victims.","it","en","","",""
"foggia","shape","Decidete ora, quale foggia dovrà assumere il contenitore.","Reflect now on the shape you want to give your container.","it","en","","",""
"stoffa","fabric","Uniranno le strisce di stoffa per creare uno stendardo festivo.","They will string the fabric strips to make a festive banner.","it","en","","",""
"mascherone","mask","Protegge la pelle anche con il trucco indossato e senza effetto mascherone.","It protects skin also with the make-up put on without mask effect.","it","en","","","mascaron, large mask"
"baffo","mustache","Un baffo folto spesso accentua i tratti del viso e aggiunge carattere.","A thick mustache often accentuates one's features and adds character.","it","en","","","moustache, whisker"
"asciutto","dry","Ha riposto le pentole in ghisa in un luogo asciutto.","He stored the cast iron cookware in a dry place.","it","en","","","dried, drier"
"bocca","mouth","Guardare in bocca a un caval donato è considerato maleducato in molte culture.","Looking a gift horse in the mouth is considered rude in many cultures.","it","en","","","lips, taste"
"patente","license","Le hanno sospeso la patente per essere passata ripetutamente con il rosso in città.","She got her license suspended for repeatedly running red lights in town.","it","en","","","driver's license, driving licence"
"patrimonio","heritage","Andranno in macchina al sito storico per conoscere il patrimonio locale.","They will motor to the historic site to learn about local heritage.","it","en","","","asset, patrimony"
"prendere a pugni","punch","Lo vide scattare e prendere a pugni il muro per la frustrazione.","She watched him haul off and punch the wall in frustration.","it","en","","","pummel, punchable"
"armadio","closet","Ha un paio di scarpe per ogni outfit nel suo armadio.","She has a pair of shoes for every outfit in her closet.","it","en","","","wardrobe, cabinet"
"ballo","dance","I novelli sposi non smettevano di sorridere durante il loro primo ballo.","The just married couple couldn't stop smiling during their first dance.","it","en","","","prom, ball"
"concorrente","competitor","Un nuovo concorrente è emerso dal nulla, sconvolgendo l'intero panorama del mercato.","A new competitor emerged out of nowhere, disrupting the entire market landscape.","it","en","","","contestant, competing"
"carico","load","Opta sempre per il carico più pesante se vuoi una maggiore stabilità.","Always opt for the heavier load if you want better stability.","it","en","","","loading, cargo"
"capoccione","melonhead","Il capoccione era orgoglioso dei suoi tratti unici e accettava la sua testa grande.","The melonhead was proud of his unique features and embraced his large head.","it","en","","","fathead, bighead"
"saponetta","soap","La saponetta è piccola, ma basta per un bagno.","The soap is a bit small, but enough for one wash.","it","en","","",""
"sostegno","support","La politica è stata attuata in virtù del forte sostegno pubblico.","The policy was implemented on the strength of overwhelming public support.","it","en","","","supporting, backing"
"apposito","special","La nostra casa dispone di un apposito parcheggio solo per gli autobus.","At our house we also offer special parking spots for coaches.","it","en","","","appropriate, specific"
"reggersi","stand","Riusciva a malapena a reggersi in piedi dopo la lunga escursione in montagna.","She could barely stand upright after the long hike through the mountains.","it","en","","","hold on, be based"
"incidente","accident","Sarah non si è abbattuta durante tutto il suo recupero dall'incidente.","Sarah kept her chin up throughout her recovery from the accident.","it","en","","","incident, crash"
"favorire","promote","Poto sempre le mie piante dopo la fioritura per favorire nuovi fiori.","I always trim my plants after they bloom to promote new flowers.","it","en","","","foster, encourage"
"sparare","shoot","Il cecchino era addestrato a sparare ai bersagli a vista senza esitazione.","The sniper was trained to shoot targets on sight without hesitation.","it","en","","","fire, gun"
"sperperare","squander","Il comportamento scandaloso del politico lo portò a sperperare la sua reputazione.","The politician's scandalous behavior caused him to squander his reputation.","it","en","","",""
"tutt’altro","quite the contrary","Sembrava disinteressata all'argomento; tutt'altro, ha argomentato la sua opinione con passione.","She appeared uninterested in the topic; quite the contrary, she passionately argued her viewpoint.","it","en","","",""
"tragitto","way","Consiglio questo tragitto se vuoi evitare gli ingorghi del traffico.","I recommend this way if you want to avoid the traffic jams.","it","en","","",""
"inculcare","inculcate","È sempre gratificante inculcare le pratiche sopra citate nella vita quotidiana.","It is always rewarding to inculcate the above mentioned practices in daily life.","it","en","","","instill, instil"
"etica","ethics","Gli avvocati devono prestare giuramento di rispettare la legge e l'etica.","Lawyers must take an oath to uphold the law and ethics.","it","en","","",""
"di primo acchito","at first glance","La spiaggia sembrava deserta di primo acchito, ma nascondeva molti tesori.","The beach appeared empty at first glance, but there were many hidden treasures.","it","en","","",""
"indurre","induce","Possiamo indurre il coma in qualcuno per ridurre il consumo di risorse.","We can induce people into comas to reduce their resource consumption.","it","en","","",""
"sottoforma","in the form","Fulmini che piovono dal cielo sottoforma di missili guidati di precisione.","Lightning raining down from the sky in the form of precision guided missiles.","it","en","","",""
"fare caso","pay attention","Mi è stato insegnato di fare caso a ciò che mi circonda e a notare tutte le cose e le persone sospette.","I've been taught to pay attention to my surroundings, note anything or anyone suspicious.","it","en","","",""
"calare","fell","Al calare della notte, l'oscurità placida avvolgeva il villaggio nella pace.","As night fell, the settling darkness wrapped the village in peace.","it","en","","","drop, set"
"cenno","nod","Durante la discussione, il suo cenno incoraggiò l'oratore a continuare.","During the discussion, her nod encouraged the speaker to continue.","it","en","","","mention, wave"
"palmo","palm","Cercando di chiudere la finestra, mi sono graffiato il palmo sul chiavistello.","Trying to close the window, I nicked my palm on the latch.","it","en","","","inch, hand"
"in riva al mare","by the sea","Sognava un eremo in riva al mare per contemplare i misteri della vita.","She dreamt of a hermitage by the sea to contemplate life's mysteries.","it","en","","","on the seashore, on the beach"
"immergere","immerse","Un radiodramma ben fatto può immergere il pubblico nei suoi paesaggi sonori e dialoghi.","A well-crafted radio play can immerse the audience in its soundscapes and dialogue.","it","en","","","dip, soak"
"immerso","immersed","Si è seduto vicino al ricevitore televisivo, immerso nella serie drammatica.","He sat close to the television receiver, immersed in the dramatic series.","it","en","","","surrounded by, dipped"
"sfumatura","shade","Il tramonto tingeva le sue labbra morbide di una delicata sfumatura rosa.","The sunset painted her kissing lips a soft shade of pink.","it","en","","","nuance, gradient"
"lentezza","slowness","I bambini apprezzano la lentezza della natura quando osservano una lumaca.","Children appreciate the slowness of nature when they watch a snail.","it","en","","","sluggishness, delay"
"inzuppare","soak","Assicurati di asciugarti prima che il vento freddo ti faccia inzuppare completamente.","Make sure to dry off before the cold wind makes you soak through.","it","en","","","dip, dunk"
"comodino","bedside table","Ha posato un bicchiere d'acqua sul comodino per la notte.","He placed a water glass on the bedside table for the night.","it","en","","",""
"fatto sta che","fact is that","Non so se sono rimasto incantato dalla sua posa da diva, ma fatto sta che la trovo splendida.","I do not know if I was enchanted by her divapose, but the fact is that I find beautiful.","it","en","","",""
"diluire","dilute","Raccogliere capitale sociale attraverso azioni può diluire la proprietà degli azionisti esistenti.","Raising share capital through equity can dilute existing shareholders' ownership.","it","en","","",""
"furbo","smart","Il topo, furbo e veloce di natura, arrivò per primo.","The mouse, smart and fast in nature, arrived first.","it","en","","","clever, smarter"
"innaffiare","water","Apprezza un gentile promemoria per innaffiare le sue piante quando è occupata.","She appreciates a friendly reminder to water her plants when she's busy.","it","en","","","hose, hose down"
"manovalanza","manpower","Ora hanno i soldi e la manovalanza.","They have the money and the manpower now.","it","en","","",""
"accoltellato","stabbed","Un'ambulanza è arrivata per portare l'uomo accoltellato al pronto soccorso.","An ambulance arrived to take the stabbed man to the emergency room.","it","en","","",""
"arrivista","upstart's","La rapida ascesa al potere dell'arrivista ha sollevato sospetti tra l'élite consolidata.","The upstart's sudden rise to power raised suspicions among the established elite.","it","en","","",""
"incorporato","built-in","Il mio tablet è dotato di uno stilo incorporato per prendere appunti facilmente.","My tablet comes with a built-in stylus for easy note-taking.","it","en","","",""
"proficuo","profitable","Questo significa che il dialogo con il governo è continuo e proficuo.","This means that the dialogue with the government is continuous and profitable .","it","en","","",""
"gettonato","popular","Le verdure ripiene in estate sono un piatto molto gettonato e richiesto.","Stuffed vegetables are very popular and requested dish in summer.","it","en","","",""
"a ridosso di","behind","La spiaggia si apre a ridosso di una rupe a strapiombo sul mare, semplicemente straordinaria.","The beach opens up behind a cliff overlooking the sea, simply extraordinary.","it","en","","",""
"crollare","collapse","Le finanze dell'azienda erano un castello di carte in attesa di crollare.","The company's finances were a house of cards waiting to collapse.","it","en","","","down, fall"
"ignaro","unaware","Il cane sembrava ignaro della tempesta in arrivo e continuava a giocare fuori.","The dog seemed unaware of the approaching storm and continued to play outside.","it","en","","","unsuspecting, oblivious"
"tallone","heel","Porta sempre un rialzo per tallone nella borsa per uscite improvvise.","He always carries a heel lift in his bag for unplanned outings.","it","en","","",""
"pellicola","film","La fotografia digitale offre un'opzione più sostenibile rispetto alla pellicola tradizionale.","Digital photography provides a more sustainable option compared to traditional film.","it","en","","",""
"pollice","thumb","Con un rapido movimento del pollice, l'accendino produsse una fiamma brillante.","With a quick flick of the thumb, the lighter produced a bright flame.","it","en","","","inch, thumbprint"
"rozzo","crude","Un po' rozzo, ma ha tagliato tutti i legamenti giusti.","A little crude, but he cut all the right ligaments.","it","en","","",""
"nominare","appoint","Proporranno di nominare un nuovo comitato per affrontare le problematiche.","They will motion to appoint a new committee to address the issues.","it","en","","",""
"vasca","tub","Non dimenticare di tappare lo scarico prima di riempire la vasca d'acqua.","Don't forget to plug the drain before filling the tub with water.","it","en","","",""
"secchio","bucket","Ha usato un secchio pieno d'acqua saponata per lavare l'auto.","She used a washing bucket to hold soapy water for the car wash.","it","en","","",""
"mold","stampo","It takes skill to cast complex designs without flaws in the mold.","Ci vuole abilità per fondere disegni complessi senza difetti nello stampo.","en","it","","",""
"ruggine","rust","La vecchia auto non era nient'altro che un mucchio di ruggine e ricordi.","The old car was nothing but a pile of rust and memories.","it","en","","",""
"appliances","elettrodomestici","This tool is very handy for fixing small appliances around the house.","Questo attrezzo è molto utile per riparare piccoli elettrodomestici in casa.","en","it","","",""
"fin da subito","immediately","Perché vuole che sia circondato da forti figure femminili fin da subito.","Because she wanted him to be immediately surrounded by strong female influences.","it","en","","","right away, from the beginning"
"arrotondare","round","Oggi in classe di matematica abbiamo imparato ad arrotondare ogni totale.","We learned to round every total in our math class today.","it","en","","",""
"scontato","granted","Dai sempre per scontato il tuo caffè preferito fino a quando non finisce.","You always take for granted your favorite coffee until you run out.","it","en","","",""
"svogliata","listless","Il rumore forte proveniente dal cantiere l'ha lasciata svogliata e irritabile.","The loud noise from the construction site left her feeling listless and irritable.","it","en","","",""
"quarterly","trimestrale","The superior reviewed the team's performance during the quarterly evaluation.","Il superiore ha esaminato le prestazioni del team durante la valutazione trimestrale.","en","it","","",""
"recitare","act","Ti ho detto di non recitare nel film per il tuo bene.","I told you not to act in films for your own good.","it","en","","",""
"a proposito","about","Lo ha affrontato a proposito della voce, volendo chiarire la questione.","She confronted him about the rumour, wanting to clear the air.","it","en","","",""
"sconvolgere","upset","Ha abbracciato la sua identità di ribelle, senza paura di sconvolgere la norma.","He embraced his identity as a renegade, unafraid to upset the norm.","it","en","","",""
"somma irrisoria","paltry sum","La donazione che ha fatto era una somma irrisoria rispetto ai bisogni dell'organizzazione benefica.","The donation he made was a paltry sum compared to the needs of the charity.","it","en","","",""
"sfruttare","exploit","Hanno scoperto un piano subdolo che mirava a sfruttare le famiglie vulnerabili.","They discovered a rotten scheme that aimed to exploit vulnerable families.","it","en","","",""
"facoltativo","optional","Le parentesi quadre attorno al termine indicano che è facoltativo.","The brackets around the term indicate that it is optional.","it","en","","",""
"scostumato","licentious","Zhu Bajiè era noto per essere pigro e goloso, e ancora peggio per essere scostumato.","Pigsy was known for being lazy and gluttonous, and worst of all, licentious.","it","en","","",""
"scontro","clash","Gli esperti prevedevano uno scontro sulle nuove normative del settore.","Experts expected a clash over the new regulations in the industry.","it","en","","",""
"botto","bang","Girò di scatto la testa quando sentì un forte botto.","She whipped her head to the side when she heard a loud bang.","it","en","","",""
"rimpianto","regret","Ha provato una leggera fitta di rimpianto dopo aver detto addio.","She felt the slightest pang of regret after saying goodbye.","it","en","","",""
"fascia","band","Una fascia gastrica può essere uno strumento cruciale nella gestione del peso.","A gastric band can be a crucial tool in weight management.","it","en","","","range, belt"
"benestante","wealthy","Il suo commento sulla disuguaglianza ha messo il dito sulla piaga nel quartiere benestante.","His comment about inequality touched a nerve in the wealthy neighborhood.","it","en","","","affluent, well-off"
"pentire","regret","Il suo tono sprezzante le fece pentire di aver parlato nella riunione.","His withering tone made her regret speaking up in the meeting.","it","en","","",""
"sooner or later","prima o poi","If you keep practicing, sooner or later you'll master the piano.","Se continui a esercitarti, prima o poi diventerai un maestro del pianoforte.","en","it","","",""
"borsa di tela","canvas bag","Usò un ago per sacchi per cucire saldamente la pesante borsa di tela.","She used a packing needle to sew the heavy canvas bag securely.","it","en","","","duffel bag, cloth bag"
"tosto","tough","Non vuole che lo dica, ma mio padre era tosto.","He hates that I say this, but my dad was tough.","it","en","","","badass, hard"
"avere a che fare","have to deal","Niente vicini con cui avere a che fare e così via...","Don't have to deal with the neighbours, and...","it","en","","","have to do, be involved"
"sheets","lenzuola","They stored the extra sheets in the closet for later use.","Hanno riposto le lenzuola extra nell'armadio per un uso futuro.","en","it","","",""
"zaffata","whiff","Una zaffata d'alito di basilisco potrebbe uccidere dieci uomini forti.","A whiff of basilisk breath could snuff out ten strong men.","it","en","","",""
"throw hands","venuti alle mani","They exchanged words, and soon enough, they would throw hands.","Si scambiarono parole, e ben presto sarebbero venuti alle mani.","en","it","","",""
"lercio","filthy","Se i soldi sono sporchi, lui è lercio.","As in, if money was dirt, he's filthy.","it","en","","",""
"ci penso io","I got it","Se continui ad essere proprio sicura, oggi, ci penso io.","If you continue to be quite sure, today, I got it.","it","en","","",""
"sporcare","dirty","Ma non voglio sporcare la mia fantastica macchina con il tuo sangue.","Sure, but I won't dirty my beautiful car with your blood.","it","en","","",""
"bidone","bin","Ha deciso di buttare le vecchie riviste nel bidone del riciclo.","She decided to toss the old magazines into the recycling bin.","it","en","","","trash can, can"
"sorda","deaf","Una persona sorda può godere della musica sentendo le vibrazioni.","A deaf individual can enjoy music by feeling the vibrations.","it","en","","",""
"timpano","eardrum","La differenza di pressione preme o spinge sul timpano, causando dolore.","The pressure difference pushes or pulls on the eardrum, causing pain.","it","en","","",""
"otite","otitis","Questi sono alcuni dei principali fattori di sviluppo di otite.","These are a few of the primary factors of developing otitis.","it","en","","",""
"una sfilza di","a slew of","Rankin pubblica una sfilza di aggiornamenti questa settimana.","Rankin's releasing a slew of upgrades and downgrades later this week.","it","en","","",""
"impiccato","hanged","Alla fine, il cattivo impiccato ha trovato la giustizia.","In the end, the hanged villain was met with justice.","it","en","","","hanging, strung up"
"commercialista","accountant","Il commercialista si è concentrato sui dati immessi durante la revisione finanziaria.","The accountant focused on the entered figures during the financial review.","it","en","","","chartered accountant, business manager"
"a proposito di","about","Mi consola sentire questo a proposito di te e del tuo ragazzo.","I get great comfort hearing that about you and your boyfriend.","it","en","","","speaking of, regarding"
"appaltatori","contractors","Ha sottolineato l'importanza di un computo metrico preciso per gli appaltatori.","She highlighted the importance of a precise bill of quantities for contractors.","it","en","","",""
"incarnare","embody","Ha cercato di incarnare i principi dell'onestà in tutti i suoi affari.","He tried to embody the principles of honesty in all his dealings.","it","en","","",""
"sminuire","diminish","Ripetere concetti senza approfondirli può sminuire il valore di una discussione accademica.","Rehashing concepts without adding depth can diminish the value of an academic discussion.","it","en","","","belittle, undermine"
"gasato","pumped","Sho-chan dev'essere particolarmente gasato perché siamo in gita.","Shou-chan must be especially pumped because it's the school trip.","it","en","","",""
"fraintendere","misunderstand","Un valore predefinito errato potrebbe portare gli utenti a fraintendere il processo.","An incorrect default value might lead users to misunderstand the process.","it","en","","",""
"peggiore","worst","Questa è la peggiore crisi economica in tempi recenti, che colpisce milioni di persone.","This is the worst economic crisis in recent memory, affecting millions of people.","it","en","","",""
"migliore","best","Senza dubbio, questo ristorante serve la migliore pizza in città.","For a fact, this restaurant serves the best pizza in town.","it","en","","",""
"parecchio","a lot","La squadra è migliorata parecchio dopo l'arrivo del nuovo allenatore.","The team improved a lot after the new coach arrived.","it","en","","",""
"dare del filo da torcere","give a hard time","Chissà che non sia arrivato il momento di dare un po' di movimento a questi disegni e dare del filo da torcere alla nostra amica artista.","Who knows... perhaps it's time to give a little movement in these drawings and to give a hard time to our artist friend.","it","en","","",""
"avere a che fare con","have something to do with","Potrebbe avere a che fare con gli acidi che ti sei calato prima.","Could have something to do with the acid you took earlier.","it","en","","",""
"rivista","magazine","La rivista l'ha presentata come il figurino per eccellenza della stagione.","The magazine featured her as the ultimate fashion plate of the season.","it","en","","",""
"spingere","push","Il successo è a portata di mano; dobbiamo solo spingere un po' di più.","Success is near at hand; we just need to push a little harder.","it","en","","",""
"presa","grip","Regolare la pinza ha permesso una presa più comoda sull'attrezzo.","Adjusting the jaw allowed for a more comfortable grip on the tool.","it","en","","",""
"per lo più","mostly","Il sentiero era per lo più libero, tranne che per alcuni rami contorti.","The pathway was mostly clear, except for a few twisted branches.","it","en","","",""
